case,algorithm,SR_D,SR_D_ci_low,SR_D_ci_high,delay_cens_mean,delay_ci_low,delay_ci_high,FAR,FAR_ci_low,FAR_ci_high,Acc_ID,Acc_ID_ci_low,Acc_ID_ci_high,final_entropy_mean,entropy_ci_low,entropy_ci_high,act_cost_mean,cost_ci_low,cost_ci_high,planner_time_ms
case14,RHMTD,0.87,0.8248750000000001,0.915,3.695,2.8048750000000005,4.595,0.02,0.0,0.06,0.79,0.735,0.845,0.09752104951998565,0.07709967410342383,0.11949600847252101,1.3801072012576237,1.3788837141995174,1.3813452986011747,0.15584116653189994
case14,HMTD-MDE,0.64,0.57,0.705,8.735,7.484750000000001,9.990124999999999,0.02,0.0,0.06,0.57,0.5,0.64,0.2520972452268814,0.2244663004857481,0.27997359154872015,1.3019884434962012,1.3019884434962012,1.3019884434962012,0.893755579876597
case14,Robust-MTD,0.87,0.8248750000000001,0.915,3.555,2.6798750000000005,4.455,0.02,0.0,0.06,0.665,0.6,0.73,0.10767896050457687,0.08813168291840019,0.12807729629300002,1.371251219667053,1.371251219667053,1.371251219667053,0.9225803455337882
case14,MS-HIDE,0.87,0.8248750000000001,0.915,3.54,2.669875,4.445125,0.02,0.0,0.06,0.81,0.755,0.865,0.09563468667489895,0.07580006512369883,0.11683131522375029,1.101080281272924,1.0687226964524061,1.1351650667432764,14.374571578911855
case57,RHMTD,0.785,0.73,0.84,6.255,5.139875,7.305249999999998,0.08,0.02,0.16,0.725,0.665,0.785,0.11546451954528787,0.09408823618242831,0.1371972157884765,0.6991775165000229,0.6986705020101213,0.6997045760271406,3.9734740763524314
case57,HMTD-MDE,0.5,0.43,0.57,11.65,10.395,12.920124999999999,0.08,0.02,0.16,0.585,0.515,0.65,0.2513618465825212,0.2185103160707713,0.2844890993812822,0.6449621867960695,0.6449621867960695,0.6449621867960695,28.05718495012843
case57,Robust-MTD,0.67,0.605,0.735,8.39,7.149750000000001,9.615124999999999,0.08,0.02,0.16,0.495,0.425,0.565,0.21217719982038383,0.18500965301576947,0.23851900486139863,0.4948417944683425,0.4948417944683425,0.4948417944683425,29.033910584184923
case57,MS-HIDE,0.835,0.785,0.885,5.02,4.075,5.980374999999999,0.08,0.02,0.16,0.705,0.645,0.77,0.1055712039321985,0.08485089806324507,0.12737592147542587,0.4663819940644055,0.45414367737837086,0.4789160878748869,282.5158141271968
case118,RHMTD,0.555,0.4898750000000002,0.62,10.63,9.46,11.890125,0.06,0.0,0.14,0.635,0.565,0.695,0.20273816253509472,0.169079656004527,0.2398087537768949,0.6041517302796976,0.6041203962789304,0.6041673972800811,9.414880848868052
case118,HMTD-MDE,0.53,0.46,0.595,11.035,9.864875,12.245,0.06,0.0,0.14,0.615,0.545,0.6751249999999993,0.20717646682652052,0.17375606908171243,0.24513632216851422,0.5446327958226442,0.5446327958226442,0.5446327958226442,63.28907792651444
case118,Robust-MTD,0.49,0.425,0.555,11.59,10.399875,12.820124999999999,0.06,0.0,0.14,0.675,0.61,0.74,0.18926155664127697,0.15602191618986386,0.2234736964628401,0.3379486834548933,0.3379486834548933,0.3379486834548933,64.75223819341045
case118,MS-HIDE,0.725,0.66,0.7801249999999993,7.25,6.174875,8.390125,0.06,0.0,0.14,0.765,0.705,0.82,0.11319543790689153,0.0852727338787419,0.1428702891674792,0.35009662096960315,0.34212734154243934,0.35809278902954095,1737.696016731934
