attack_mag,algorithm,sr_detect_mean,sr_detect_ci_low,sr_detect_ci_high,delay_mean,delay_ci_low,delay_ci_high
0.01,RHMTD,0.31,0.25,0.375,15.425,14.389875,16.420125000000002
0.01,HMTD-MDE,0.235,0.18,0.295,16.425,15.409875,17.34
0.01,Robust-MTD,0.24,0.185,0.3,17.4,16.604875,18.115
0.01,MS-HIDE,0.505,0.435,0.575,13.605,12.599874999999999,14.63525
0.02,RHMTD,0.6,0.535,0.6701249999999993,10.45,9.229750000000001,11.585
0.02,HMTD-MDE,0.36,0.295,0.43,14.42,13.284875,15.495
0.02,Robust-MTD,0.495,0.425,0.565,12.87,11.70475,13.995249999999999
0.02,MS-HIDE,0.73,0.665,0.79,8.0,6.88,9.16025
0.03,RHMTD,0.72,0.66,0.785,7.64,6.459875,8.765
0.03,HMTD-MDE,0.455,0.39,0.525,12.47,11.204875,13.695
0.03,Robust-MTD,0.61,0.54,0.675,10.065,8.82475,11.280124999999998
0.03,MS-HIDE,0.82,0.765,0.87,5.605,4.625,6.605125
0.04,RHMTD,0.785,0.73,0.84,6.255,5.139875,7.305249999999998
0.04,HMTD-MDE,0.5,0.43,0.57,11.65,10.395,12.920124999999999
0.04,Robust-MTD,0.67,0.605,0.735,8.39,7.149750000000001,9.615124999999999
0.04,MS-HIDE,0.835,0.785,0.885,5.02,4.075,5.980374999999999
0.05,RHMTD,0.81,0.755,0.865,5.42,4.355,6.465125
0.05,HMTD-MDE,0.55,0.485,0.62,10.78,9.51975,12.01025
0.05,Robust-MTD,0.71,0.645,0.77,7.405,6.195,8.625
0.05,MS-HIDE,0.855,0.805,0.905,4.605,3.6898750000000002,5.56
0.06,RHMTD,0.835,0.785,0.885,4.925,3.935,5.905125
0.06,HMTD-MDE,0.62,0.555,0.685,9.595,8.36,10.79
0.06,Robust-MTD,0.745,0.685,0.805,6.77,5.615,7.965
0.06,MS-HIDE,0.855,0.805,0.905,4.46,3.549875,5.410249999999999
0.08,RHMTD,0.84,0.79,0.89,4.575,3.6198750000000004,5.540249999999999
0.08,HMTD-MDE,0.69,0.625,0.755,7.985,6.764875,9.160374999999998
0.08,Robust-MTD,0.775,0.72,0.835,5.85,4.749625000000001,6.975
0.08,MS-HIDE,0.865,0.815,0.91,3.98,3.12,4.895124999999999
