target_bus,degree,algorithm,sr_detect_mean,sr_detect_ci_low,sr_detect_ci_high,id_acc_mean,id_acc_ci_low,id_acc_ci_high,delay_mean
2,3,Robust-MTD,1.0,1.0,1.0,0.98,0.95,1.0,1.71
2,3,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,1.3
3,5,Robust-MTD,0.97,0.93,1.0,0.97,0.93,1.0,5.68
3,5,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,1.39
4,2,Robust-MTD,0.05,0.01,0.1,0.0,0.0,0.0,19.52
4,2,MS-HIDE,0.05,0.01,0.1,0.0,0.0,0.0,19.52
5,4,Robust-MTD,0.93,0.88,0.98,1.0,1.0,1.0,6.46
5,4,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,1.63
8,6,Robust-MTD,1.0,1.0,1.0,1.0,1.0,1.0,1.15
8,6,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,3,Robust-MTD,0.06,0.02,0.11,1.0,1.0,1.0,19.37
9,3,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,2.12
10,4,Robust-MTD,1.0,1.0,1.0,1.0,1.0,1.0,2.53
10,4,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,0.98
11,5,Robust-MTD,1.0,1.0,1.0,1.0,1.0,1.0,1.18
11,5,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,6,Robust-MTD,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,6,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,5,Robust-MTD,1.0,1.0,1.0,1.0,1.0,1.0,0.99
14,5,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,1.28
15,2,Robust-MTD,0.08,0.03,0.14,0.0,0.0,0.0,19.14
15,2,MS-HIDE,0.09,0.04,0.15,0.08,0.03,0.14,18.96
17,3,Robust-MTD,1.0,1.0,1.0,0.02,0.0,0.05,2.5
17,3,MS-HIDE,1.0,1.0,1.0,0.96,0.92,0.99,2.85
23,4,Robust-MTD,0.07,0.03,0.12,0.0,0.0,0.0,19.3
23,4,MS-HIDE,0.07,0.03,0.12,0.0,0.0,0.0,19.3
25,2,Robust-MTD,1.0,1.0,1.0,0.49,0.39,0.58,1.4
25,2,MS-HIDE,1.0,1.0,1.0,0.57,0.48,0.67,1.89
32,1,Robust-MTD,0.06,0.02,0.11,0.0,0.0,0.0,19.25
32,1,MS-HIDE,0.06,0.02,0.11,0.0,0.0,0.0,19.25
35,3,Robust-MTD,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,3,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,5,Robust-MTD,1.0,1.0,1.0,0.0,0.0,0.0,0.97
37,5,MS-HIDE,1.0,1.0,1.0,0.52,0.42,0.61,1.09
38,2,Robust-MTD,0.39,0.2997500000000004,0.49,0.57,0.47,0.66,16.07
38,2,MS-HIDE,1.0,1.0,1.0,0.46,0.36,0.55,3.0
48,4,Robust-MTD,1.0,1.0,1.0,0.38,0.29,0.47,1.0
48,4,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,1.59
49,2,Robust-MTD,1.0,1.0,1.0,0.03,0.0,0.07,1.35
49,2,MS-HIDE,1.0,1.0,1.0,1.0,1.0,1.0,1.4
