attack_flag,h_true,c_true,detected,tau_detect,tau_detect_censored,false_alarm,h_hat_final,id_correct,final_entropy,final_ampvar,cumulative_act_cost,planner_runtime_ms_mean,planner_runtime_ms_p95,max_hide_error,algorithm,episode_id,case,eta_x
True,26,-0.04,False,20,20,False,0,False,0.7911450250583755,0.4012208983371389,0.5788272130587518,22.887322847964242,32.138985118945136,0.0,HMTD-MDE,0,case57,0.03
True,49,-0.04,False,20,20,False,0,False,0.7850154445239215,0.42460898124447244,0.5788272130587518,25.176941644167528,33.5776586434804,0.0,HMTD-MDE,1,case57,0.03
True,53,-0.04,False,20,20,False,53,True,0.1878906822271125,0.03762052236454587,0.5788272130587518,25.651743751950562,34.570435126079246,0.0,HMTD-MDE,2,case57,0.03
True,37,0.04,False,20,20,False,37,True,0.659964347790119,0.25778919739778056,0.5788272130587518,31.728702192776833,74.78009589540306,0.0,HMTD-MDE,3,case57,0.03
True,46,0.04,True,17,17,False,0,False,0.7996870235427272,0.41609874488276244,0.5788272130587518,27.229875055490993,33.53944314003457,0.0,HMTD-MDE,4,case57,0.03
True,17,0.04,False,20,20,False,0,False,0.8094189839147968,0.4029258472767988,0.5788272130587518,21.93205005605705,29.708454504725523,0.0,HMTD-MDE,5,case57,0.03
True,24,0.04,False,20,20,False,29,False,0.6533067105871397,0.2619764453905778,0.5788272130587518,24.794458301039413,37.637764267856255,0.0,HMTD-MDE,6,case57,0.03
True,3,0.04,False,20,20,False,2,False,0.15713568915736328,0.040377297569138416,0.5788272130587518,25.130077014910057,30.314990985789336,0.0,HMTD-MDE,7,case57,0.03
True,8,-0.04,True,1,1,False,8,True,3.8671819781197724e-10,0.006145422786619424,0.5788272130587518,29.444777098251507,47.98976250167472,0.0,HMTD-MDE,8,case57,0.03
True,22,0.04,False,20,20,False,18,False,0.6989463368298553,0.2961004612896868,0.5788272130587518,31.207995899603702,72.81152021605521,0.0,HMTD-MDE,9,case57,0.03
True,29,-0.04,False,20,20,False,0,False,0.8059259742443177,0.4142616690914623,0.5788272130587518,22.81897295906674,32.162433653138585,0.0,HMTD-MDE,10,case57,0.03
True,28,-0.04,False,20,20,False,0,False,0.8001214371867489,0.4126253623743348,0.5788272130587518,26.234099848079495,37.1726434037555,0.0,HMTD-MDE,11,case57,0.03
True,8,0.04,True,1,1,False,8,True,3.8671819781197475e-10,0.006145422786619424,0.5788272130587518,27.667068655136973,43.411447867401876,0.0,HMTD-MDE,12,case57,0.03
True,28,-0.04,False,20,20,False,0,False,0.7644765521685002,0.4397175186400264,0.5788272130587518,31.299987391685136,51.65081222367008,0.0,HMTD-MDE,13,case57,0.03
True,22,0.04,False,20,20,False,0,False,0.7951641967378761,0.3884660347147244,0.5788272130587518,33.96550405013841,50.291076421854115,0.0,HMTD-MDE,14,case57,0.03
True,26,0.04,False,20,20,False,0,False,0.7954435378172783,0.3701535934240233,0.5788272130587518,20.724329238873906,27.224139237659987,0.0,HMTD-MDE,15,case57,0.03
True,40,-0.04,False,20,20,False,40,True,0.7495697097214014,0.2941403264864363,0.5788272130587518,23.098229101742618,31.18271872808691,0.0,HMTD-MDE,16,case57,0.03
True,1,-0.04,False,20,20,False,0,False,0.8307814684279853,0.38923528670344165,0.5788272130587518,25.80553136067465,39.00390806957148,0.0,HMTD-MDE,17,case57,0.03
True,37,-0.04,False,20,20,False,43,False,0.6689671391298745,0.2828903155327287,0.5788272130587518,28.275468543870375,40.07148063974455,0.0,HMTD-MDE,18,case57,0.03
True,42,-0.04,False,20,20,False,0,False,0.7679368045883224,0.43292525731855147,0.5788272130587518,30.005214616539888,40.8982788794674,0.0,HMTD-MDE,19,case57,0.03
True,32,0.04,False,20,20,False,0,False,0.7693038639191006,0.44226507935712417,0.5788272130587518,22.600516711827368,30.539147905074064,0.0,HMTD-MDE,20,case57,0.03
True,20,0.04,False,20,20,False,20,True,0.6072955715501768,0.22139726078207297,0.5788272130587518,25.523918741964735,35.996997868642225,0.0,HMTD-MDE,21,case57,0.03
True,46,0.04,False,20,20,False,0,False,0.8076840253715645,0.4103023302635497,0.5788272130587518,27.176054098526947,39.41095979535023,0.0,HMTD-MDE,22,case57,0.03
True,42,0.04,False,20,20,False,0,False,0.7650976767767409,0.4478715935297327,0.5788272130587518,31.36706039949786,54.1677722678287,0.0,HMTD-MDE,23,case57,0.03
True,56,-0.04,True,3,3,False,0,False,0.8127495523026984,0.4030316410108329,0.5788272130587518,26.930843698210083,38.82931068656035,0.0,HMTD-MDE,24,case57,0.03
True,53,0.04,False,20,20,False,52,False,0.19149450240429672,0.038460933846320086,0.5788272130587518,32.163370549096726,52.40459931083025,0.0,HMTD-MDE,25,case57,0.03
True,48,0.04,False,20,20,False,48,True,0.18971208273044207,0.03626360401357728,0.5788272130587518,29.8615562467603,47.29651843954345,0.0,HMTD-MDE,26,case57,0.03
True,24,-0.04,False,20,20,False,24,True,0.4728076215409363,0.19051712658252742,0.5788272130587518,28.10514380398672,36.57344583771192,0.0,HMTD-MDE,27,case57,0.03
True,20,0.04,False,20,20,False,19,False,0.21245053148565568,0.06735468116191991,0.5788272130587518,27.531577047193423,38.605787500273436,0.0,HMTD-MDE,28,case57,0.03
True,34,-0.04,True,18,18,False,0,False,0.8097297201253527,0.4097162815264306,0.5788272130587518,29.765741695882753,39.27004617289642,0.0,HMTD-MDE,29,case57,0.03
True,11,-0.04,True,1,1,False,11,True,3.8671819781197894e-10,0.006476937030498863,0.5788272130587518,31.136320647783577,52.957591347512825,0.0,HMTD-MDE,30,case57,0.03
True,38,0.04,False,20,20,False,0,False,0.8101581421609575,0.39995423595736346,0.5788272130587518,29.613881348632276,46.87681700743269,0.0,HMTD-MDE,31,case57,0.03
True,32,0.04,False,20,20,False,0,False,0.7899249419164619,0.41984945607992996,0.5788272130587518,27.86986455321312,38.775589282158776,0.0,HMTD-MDE,32,case57,0.03
True,15,-0.04,False,20,20,False,0,False,0.7732557127342303,0.4412056857407851,0.5788272130587518,29.262268749880604,40.35071394755507,0.0,HMTD-MDE,33,case57,0.03
True,36,0.04,False,20,20,False,35,False,0.16752399231071227,0.011498149089729584,0.5788272130587518,30.965129093965515,65.0613000005251,0.0,HMTD-MDE,34,case57,0.03
True,26,0.04,False,20,20,False,0,False,0.7763393722017209,0.4313988631909291,0.5788272130587518,28.460572959738784,56.56206873536577,0.0,HMTD-MDE,35,case57,0.03
True,28,0.04,False,20,20,False,28,True,0.5281040881406065,0.3590415115093149,0.5788272130587518,31.953825047821738,61.40735411609057,0.0,HMTD-MDE,36,case57,0.03
