eta_x,algorithm,sr_detect_mean,sr_detect_ci_low,sr_detect_ci_high,act_cost_mean,act_cost_ci_low,act_cost_ci_high,id_acc_mean
0.03,RHMTD,0.175,0.125,0.23,0.6808794660848951,0.6803339015167778,0.6814010188307374,0.49
0.03,HMTD-MDE,0.18,0.13,0.235,0.5788272130587517,0.5788272130587517,0.5788272130587517,0.345
0.03,Robust-MTD,0.165,0.11987500000000022,0.215,0.40839481450129256,0.40839481450129256,0.40839481450129256,0.35
0.03,MS-HIDE,0.24,0.185,0.3,0.5069755212073912,0.501533099098081,0.5123993808349449,0.58
0.06,RHMTD,0.405,0.335,0.47,0.6845967138598519,0.6840104653604671,0.6851935163526734,0.61
0.06,HMTD-MDE,0.265,0.21,0.325,0.5911941078929328,0.5911941078929328,0.5911941078929328,0.465
0.06,Robust-MTD,0.26,0.2,0.32,0.44748109657702784,0.44748109657702784,0.44748109657702784,0.39
0.06,MS-HIDE,0.6,0.53,0.67,0.5039047982491679,0.49662853891096226,0.5115889990451716,0.71
0.09,RHMTD,0.545,0.475,0.615,0.6877652310996999,0.6871080435407686,0.6884303004571457,0.665
0.09,HMTD-MDE,0.355,0.29,0.425,0.6032802329788663,0.6032802329788663,0.6032802329788663,0.54
0.09,Robust-MTD,0.475,0.405,0.545,0.505808465592321,0.505808465592321,0.505808465592321,0.51
0.09,MS-HIDE,0.695,0.635,0.76,0.5030958320764105,0.49506306369340325,0.5111202382891445,0.695
0.12,RHMTD,0.685,0.625,0.75,0.6906894760209658,0.6900239780329765,0.691367843019479,0.675
0.12,HMTD-MDE,0.405,0.335,0.475,0.6150741710035446,0.6150741710035446,0.6150741710035446,0.545
0.12,Robust-MTD,0.535,0.465,0.605,0.5031835169978781,0.5031835169978781,0.5031835169978781,0.49
0.12,MS-HIDE,0.795,0.7398750000000002,0.85,0.4979822649097546,0.48801469608012576,0.5074266133747963,0.725
0.15,RHMTD,0.72,0.66,0.785,0.6936013656525833,0.6929415625008309,0.6943010588850886,0.71
0.15,HMTD-MDE,0.455,0.39,0.525,0.6265602689131132,0.6265602689131132,0.6265602689131132,0.585
0.15,Robust-MTD,0.61,0.54,0.675,0.5002782899150092,0.5002782899150092,0.5002782899150092,0.5
0.15,MS-HIDE,0.83,0.7798750000000002,0.88,0.4897854437354285,0.4792131338054966,0.5003797094873237,0.72
0.18,RHMTD,0.745,0.685,0.805,0.6966558865715242,0.696085899614253,0.6972840094695316,0.715
0.18,HMTD-MDE,0.485,0.415,0.555,0.6377182129149894,0.6377182129149894,0.6377182129149894,0.585
0.18,Robust-MTD,0.655,0.59,0.72,0.49710358603411825,0.49710358603411825,0.49710358603411825,0.48
0.18,MS-HIDE,0.835,0.785,0.885,0.48087946762731465,0.46960215401766564,0.4922533792849433,0.73
0.2,RHMTD,0.785,0.73,0.84,0.6991775165000229,0.6986705020101213,0.6997045760271406,0.725
0.2,HMTD-MDE,0.5,0.43,0.57,0.6449621867960695,0.6449621867960695,0.6449621867960695,0.585
0.2,Robust-MTD,0.67,0.605,0.735,0.4948417944683425,0.4948417944683425,0.4948417944683425,0.495
0.2,MS-HIDE,0.835,0.785,0.885,0.4663819940644055,0.45414367737837086,0.4789160878748869,0.705
