attack_flag,h_true,c_true,detected,tau_detect,tau_detect_censored,false_alarm,h_hat_final,id_correct,final_entropy,final_ampvar,cumulative_act_cost,planner_runtime_ms_mean,planner_runtime_ms_p95,max_hide_error,algorithm,episode_id,case,sigma_rel
True,26,-0.04,False,20,20,False,0,False,0.49505437610423025,0.3755628598139267,0.6449621867960693,20.32550199655816,27.47568751801737,0.0,HMTD-MDE,0,case57,0.005
True,49,-0.04,True,4,4,False,49,True,0.018575636479707943,0.006690324729615974,0.6449621867960693,24.54264990228694,30.377437514835055,0.0,HMTD-MDE,1,case57,0.005
True,53,-0.04,True,1,1,False,51,False,0.26735840353369295,0.004539382401233695,0.6449621867960693,22.577410450321622,28.871997588430535,0.0,HMTD-MDE,2,case57,0.005
True,37,0.04,True,1,1,False,43,False,0.17241705744694258,0.004277983087281126,0.6449621867960693,29.01088329963386,47.71423335187137,0.0,HMTD-MDE,3,case57,0.005
True,46,0.04,True,17,17,False,0,False,0.4878579696620933,0.37941577390108994,0.6449621867960693,29.45742900192272,64.96216420782731,0.0,HMTD-MDE,4,case57,0.005
True,17,0.04,False,20,20,False,17,True,0.14325032400421656,0.020232022939734993,0.6449621867960693,21.4211042097304,34.32803153700661,0.0,HMTD-MDE,5,case57,0.005
True,24,0.04,True,1,1,False,31,False,0.3916048946500427,0.007750484557340376,0.6449621867960693,24.33326469908934,31.589023588458083,0.0,HMTD-MDE,6,case57,0.005
True,3,0.04,True,1,1,False,3,True,3.86718197811975e-10,0.0012696442911119545,0.6449621867960693,28.70016255765222,52.126994132413536,0.0,HMTD-MDE,7,case57,0.005
True,8,-0.04,True,1,1,False,8,True,3.8671819781197475e-10,7.504628368689319e-05,0.6449621867960693,28.121322850347497,41.045100675546564,0.0,HMTD-MDE,8,case57,0.005
True,22,0.04,False,20,20,False,0,False,0.5851367413200605,0.2825274530271968,0.6449621867960693,26.508449960965663,34.18472289340571,0.0,HMTD-MDE,9,case57,0.005
True,29,-0.04,True,2,2,False,31,False,0.4019815205656129,0.008033722911405434,0.6449621867960693,20.60034796304535,27.525600270018924,0.0,HMTD-MDE,10,case57,0.005
True,28,-0.04,True,1,1,False,28,True,0.0007016375944805576,0.00991148574757124,0.6449621867960693,27.36088318633847,41.13396874745377,0.0,HMTD-MDE,11,case57,0.005
True,8,0.04,True,1,1,False,8,True,3.8671819781197475e-10,7.504628368689319e-05,0.6449621867960693,26.379206296405755,36.49309611064384,0.0,HMTD-MDE,12,case57,0.005
True,28,-0.04,False,20,20,False,28,True,0.0008351719069764406,0.009911873036108597,0.6449621867960693,28.037543810205534,47.547418795875295,0.0,HMTD-MDE,13,case57,0.005
True,22,0.04,False,20,20,False,0,False,0.5025763236324329,0.3683046632591244,0.6449621867960693,30.945870809955522,55.30846398323775,0.0,HMTD-MDE,14,case57,0.005
True,26,0.04,False,20,20,False,0,False,0.5004365192080278,0.3555571990317458,0.6449621867960693,20.945177203975618,30.267000317689966,0.0,HMTD-MDE,15,case57,0.005
True,40,-0.04,True,1,1,False,40,True,9.216420973165688e-07,0.004983172894493857,0.6449621867960693,24.74859169742558,29.735878852079626,0.0,HMTD-MDE,16,case57,0.005
True,1,-0.04,False,20,20,False,0,False,0.5318307391284341,0.3661059420342838,0.6449621867960693,27.476281247800216,35.561029840027956,0.0,HMTD-MDE,17,case57,0.005
True,37,-0.04,True,2,2,False,37,True,0.17320753723812415,0.004292032315805043,0.6449621867960693,36.66793970041908,83.96944371925204,0.0,HMTD-MDE,18,case57,0.005
True,42,-0.04,True,4,4,False,42,True,2.063338919138214e-09,0.015781698591066706,0.6449621867960693,26.912616792833433,34.38911252014805,0.0,HMTD-MDE,19,case57,0.005
True,32,0.04,False,20,20,False,0,False,0.47462859661904094,0.38280779066995735,0.6449621867960693,21.281852046377026,30.747104494366805,0.0,HMTD-MDE,20,case57,0.005
True,20,0.04,True,1,1,False,20,True,0.272277523758177,0.005432215311459356,0.6449621867960693,25.80571890284773,35.75599819596392,0.0,HMTD-MDE,21,case57,0.005
True,46,0.04,False,20,20,False,0,False,0.4759187024988459,0.3833274663526963,0.6449621867960693,27.03147079446353,35.97650869342036,0.0,HMTD-MDE,22,case57,0.005
True,42,0.04,True,13,13,False,42,True,3.867180879718788e-10,0.015781698546599703,0.6449621867960693,28.230914601590484,38.11612259014512,0.0,HMTD-MDE,23,case57,0.005
True,56,-0.04,True,1,1,False,56,True,0.17144160094404476,0.007215719284532948,0.6449621867960693,26.489735356881283,34.851864288793884,0.0,HMTD-MDE,24,case57,0.005
True,53,0.04,True,1,1,False,51,False,0.21454589696471651,0.006341351857181616,0.6449621867960693,26.97116455528885,36.23388483538292,0.0,HMTD-MDE,25,case57,0.005
True,48,0.04,True,1,1,False,48,True,3.8671808797186145e-10,0.000953628856691581,0.6449621867960693,28.095178998773918,35.05764517758508,0.0,HMTD-MDE,26,case57,0.005
True,24,-0.04,True,1,1,False,31,False,0.4004022935860329,0.007467401288730742,0.6449621867960693,29.293254102231003,51.71245422097854,0.0,HMTD-MDE,27,case57,0.005
True,20,0.04,True,1,1,False,18,False,0.2219536507822201,0.008196104915107976,0.6449621867960693,28.525968798203394,45.098012199741795,0.0,HMTD-MDE,28,case57,0.005
True,34,-0.04,True,3,3,False,31,False,0.4238402045938633,0.010025464507235637,0.6449621867960693,28.520006354665384,45.1638309750706,0.0,HMTD-MDE,29,case57,0.005
True,11,-0.04,True,1,1,False,11,True,3.8671819781197475e-10,7.784713811649546e-05,0.6449621867960693,26.46789573773276,35.08802670694423,0.0,HMTD-MDE,30,case57,0.005
True,38,0.04,True,4,4,False,38,True,0.17144160094404476,0.007215719284532948,0.6449621867960693,27.876241542981006,39.50919166964013,0.0,HMTD-MDE,31,case57,0.005
True,32,0.04,False,20,20,False,0,False,0.5057382620173193,0.3704026008291783,0.6449621867960693,30.23598740401212,44.29250657267404,0.0,HMTD-MDE,32,case57,0.005
True,15,-0.04,False,20,20,False,15,True,0.12995562102803776,0.13870249372827026,0.6449621867960693,31.3727999542607,47.78331490233542,0.0,HMTD-MDE,33,case57,0.005
True,36,0.04,True,1,1,False,36,True,3.8671808797186145e-10,0.0002656380861647126,0.6449621867960693,30.18393125385046,52.80838923936244,0.0,HMTD-MDE,34,case57,0.005
True,26,0.04,False,20,20,False,0,False,0.47189858109008676,0.3837004849815572,0.6449621867960693,28.854639746714383,64.4497606845107,0.0,HMTD-MDE,35,case57,0.005
True,28,0.04,True,11,11,False,28,True,0.010148748966306409,0.009948932460811436,0.6449621867960693,30.789264506893232,43.75767472083684,0.0,HMTD-MDE,36,case57,0.005
True,3,0.04,True,1,1,False,3,True,3.867181703519762e-10,0.0012696442911119547,0.6449621867960693,33.58266450231895,71.0686792066554,0.0,HMTD-MDE,37,case57,0.005
True,6,0.04,True,1,1,False,6,True,3.8671819781197475e-10,0.0007964005941637583,0.6449621867960693,32.115339601296,55.197454211884185,0.0,HMTD-MDE,38,case57,0.005
True,51,-0.04,True,10,10,False,51,True,0.157062653712303,0.016318162684215997,0.6449621867960693,31.54832505679224,44.971576743409976,0.0,HMTD-MDE,39,case57,0.005
True,17,0.04,True,1,1,False,17,True,0.15215208311195394,0.02003996446646192,0.6449621867960693,40.0472041539615,112.79748058586853,0.0,HMTD-MDE,40,case57,0.005
True,49,-0.04,True,5,5,False,49,True,0.007924408375960045,0.00673801599125382,0.6449621867960693,29.58445830445271,48.99761700944512,0.0,HMTD-MDE,41,case57,0.005
True,19,-0.04,True,1,1,False,18,False,0.24312350321582735,0.007552948358893176,0.6449621867960693,28.624818695243448,50.03109165700154,0.0,HMTD-MDE,42,case57,0.005
True,31,0.04,False,20,20,False,33,False,0.4158839301485143,0.014625451436346757,0.6449621867960693,33.66283545619808,69.57071697979701,0.0,HMTD-MDE,43,case57,0.005
True,55,0.04,True,1,1,False,55,True,2.2130317297666575e-05,0.00039365636533211524,0.6449621867960693,33.32796034810599,60.43852884031367,0.0,HMTD-MDE,44,case57,0.005
True,2,0.04,True,1,1,False,2,True,3.867181978119967e-10,0.00195562968249633,0.6449621867960693,29.464339598780498,47.890779518638745,0.0,HMTD-MDE,45,case57,0.005
True,34,-0.04,True,3,3,False,31,False,0.42437124902909334,0.009375083284666831,0.6449621867960693,33.952579108881764,63.138100304058796,0.0,HMTD-MDE,46,case57,0.005
True,14,-0.04,True,1,1,False,14,True,3.8671819781197475e-10,0.003115447415609492,0.6449621867960693,27.27985830279067,39.78362231573557,0.0,HMTD-MDE,47,case57,0.005
True,1,0.04,False,20,20,False,1,True,0.20066594846107316,0.14892560245257733,0.6449621867960693,33.932743745390326,71.31152708025185,0.0,HMTD-MDE,48,case57,0.005
True,34,-0.04,True,3,3,False,31,False,0.4161715476287091,0.0096270424735065,0.6449621867960693,32.52857905754354,55.51847501483282,0.0,HMTD-MDE,49,case57,0.005
True,40,-0.04,True,1,1,False,40,True,7.307489717355759e-07,0.004983173133242175,0.6449621867960693,30.76938120648265,58.506694016978145,0.0,HMTD-MDE,50,case57,0.005
True,27,-0.04,False,20,20,False,27,True,0.018658507037754565,0.015543477573422875,0.6449621867960693,36.9379499432398,82.71049018076157,0.0,HMTD-MDE,51,case57,0.005
True,44,-0.04,False,20,20,False,44,True,0.19035508521480618,0.07049350701544113,0.6449621867960693,30.323904001852497,45.81823155167513,0.0,HMTD-MDE,52,case57,0.005
True,1,0.04,False,20,20,False,0,False,0.5268130009203343,0.34692861419298904,0.6449621867960693,28.133570856880397,41.05026044126135,0.0,HMTD-MDE,53,case57,0.005
True,20,-0.04,True,1,1,False,18,False,0.24286030787156154,0.007556812093263644,0.6449621867960693,31.960685300873592,51.10701211378911,0.0,HMTD-MDE,54,case57,0.005
True,41,-0.04,True,1,1,False,55,False,0.07353847620691506,0.00038342324135827937,0.6449621867960693,28.477760302484967,41.390091966604814,0.0,HMTD-MDE,55,case57,0.005
True,25,0.04,False,20,20,False,0,False,0.5761063186664284,0.28925168094533804,0.6449621867960693,28.43021040316671,40.595142016536556,0.0,HMTD-MDE,56,case57,0.005
True,33,0.04,False,20,20,False,33,True,0.3414916681230306,0.023532818020677766,0.6449621867960693,23.939002139377408,32.5762205553474,0.0,HMTD-MDE,57,case57,0.005
True,42,-0.04,False,20,20,False,42,True,3.8671806051192644e-10,0.015781698546599707,0.6449621867960693,33.867106298566796,56.20812562701759,0.0,HMTD-MDE,58,case57,0.005
True,21,0.04,False,20,20,False,0,False,0.47312347791803855,0.38377985109725965,0.6449621867960693,30.764014649321325,47.250762133626274,0.0,HMTD-MDE,59,case57,0.005
True,36,-0.04,True,1,1,False,36,True,3.86718087971862e-10,0.0002656380861647126,0.6449621867960693,29.365558244171552,50.07541638042313,0.0,HMTD-MDE,60,case57,0.005
True,46,0.04,False,20,20,False,0,False,0.4956994911335407,0.3761660068166696,0.6449621867960693,31.276504349079914,63.355366679024904,0.0,HMTD-MDE,61,case57,0.005
True,56,0.04,True,1,1,False,38,False,0.1714416009440448,0.007215719284532948,0.6449621867960693,30.842393805505708,66.83689588098787,0.0,HMTD-MDE,62,case57,0.005
True,8,-0.04,True,1,1,False,8,True,3.8671819781197475e-10,7.504628368689319e-05,0.6449621867960693,29.976072843419388,46.575527128879926,0.0,HMTD-MDE,63,case57,0.005
True,2,0.04,True,1,1,False,2,True,3.8671819781197486e-10,0.00195562968249633,0.6449621867960693,30.356064601801336,51.14728714688681,0.0,HMTD-MDE,64,case57,0.005
True,43,0.04,True,1,1,False,37,False,0.17314962298389625,0.004290956140282492,0.6449621867960693,31.257468851981685,40.85384855279702,0.0,HMTD-MDE,65,case57,0.005
