sigma_rel,algorithm,sr_detect_mean,sr_detect_ci_low,sr_detect_ci_high,far_mean,far_ci_low,far_ci_high,delay_mean
0.005,RHMTD,0.85,0.7875,0.9,0.025,0.0,0.075,4.44375
0.005,HMTD-MDE,0.675,0.6,0.74375,0.025,0.0,0.075,8.3125
0.005,Robust-MTD,0.75,0.68125,0.81875,0.025,0.0,0.075,7.1125
0.005,MS-HIDE,0.875,0.81875,0.925,0.025,0.0,0.075,3.80625
0.01,RHMTD,0.80625,0.74375,0.86875,0.025,0.0,0.075,6.03125
0.01,HMTD-MDE,0.5125,0.43125,0.5875,0.025,0.0,0.075,11.55
0.01,Robust-MTD,0.7,0.625,0.76875,0.025,0.0,0.075,8.0125
0.01,MS-HIDE,0.8375,0.775,0.8876562499999991,0.025,0.0,0.075,4.9625
0.02,RHMTD,0.6375,0.5625,0.7125,0.05,0.0,0.125,9.9875
0.02,HMTD-MDE,0.375,0.29375,0.45625,0.05,0.0,0.125,14.2625
0.02,Robust-MTD,0.5,0.425,0.575,0.05,0.0,0.125,12.74375
0.02,MS-HIDE,0.76875,0.70625,0.8375,0.05,0.0,0.125,7.575
0.03,RHMTD,0.4625,0.3875,0.54375,0.05,0.0,0.125,12.84375
0.03,HMTD-MDE,0.3,0.225,0.375,0.05,0.0,0.125,15.51875
0.03,Robust-MTD,0.325,0.25,0.39375,0.05,0.0,0.125,15.48125
0.03,MS-HIDE,0.64375,0.56875,0.71875,0.05,0.0,0.125,10.30625
